node,detectionTime,crashTimestamp
41,4035,1505214589347
44,4034,1505214575208
15,2014,1505214559018
52,6066,1505214571156
99,2019,1505214563064
84,10097,1505214605506
11,2016,1505214587327
2,2014,1505214615608
34,6054,1505214615608
96,4037,1505214585306
78,6074,1505214546869
94,2020,1505214532692
3,2014,1505214599449
13,8082,1505214534721
87,6064,1505214561038
77,2015,1505214629747
68,2012,1505214593390
100,2016,1505214631766
88,2013,1505214559019
36,4046,1505214573176
48,4035,1505214565087
35,4053,1505214524569
61,10093,1505214599449
63,2016,1505214579247
27,2014,1505214575208
83,8075,1505214589347
81,6055,1505214595408
72,6054,1505214556998
40,2021,1505214550922
98,2014,1505214625708
4,0,1505214522518
57,6056,1505214585306
